model_family,variant,task,cv_iter,fold,mae,rmse,r2
rf,single_papp,papp,0,0,6.164,8.235,0.3888
rf,single_efflux,efflux,0,0,3.416,8.23,0.2905
rf,multi,papp,0,0,6.085,8.072,0.4127
rf,multi,efflux,0,0,3.376,8.103,0.3121
rf,single_papp,papp,0,1,6.434,8.575,0.3181
rf,single_efflux,efflux,0,1,2.892,6.753,0.0312
rf,multi,papp,0,1,6.335,8.481,0.333
rf,multi,efflux,0,1,2.744,6.334,0.1477
rf,single_papp,papp,0,2,6.747,8.739,0.3341
rf,single_efflux,efflux,0,2,3.103,7.459,0.0742
rf,multi,papp,0,2,6.903,8.859,0.3157
rf,multi,efflux,0,2,3.222,7.524,0.0582
rf,single_papp,papp,0,3,5.881,7.981,0.3998
rf,single_efflux,efflux,0,3,3.309,9.424,-0.1203
rf,multi,papp,0,3,5.798,7.931,0.4074
rf,multi,efflux,0,3,2.968,8.75,0.0342
rf,single_papp,papp,0,4,6.276,8.6,0.3951
rf,single_efflux,efflux,0,4,3.923,10.628,0.3047
rf,multi,papp,0,4,6.223,8.559,0.4009
rf,multi,efflux,0,4,3.726,10.438,0.3294
rf,single_papp,papp,1,0,6.589,8.397,0.307
rf,single_efflux,efflux,1,0,3.281,9.004,0.025
rf,multi,papp,1,0,6.469,8.223,0.3355
rf,multi,efflux,1,0,3.244,8.758,0.0777
rf,single_papp,papp,1,1,6.814,8.725,0.3356
rf,single_efflux,efflux,1,1,2.647,5.701,-0.0713
rf,multi,papp,1,1,6.765,8.713,0.3375
rf,multi,efflux,1,1,2.56,5.619,-0.0406
rf,single_papp,papp,1,2,5.925,8.29,0.4722
rf,single_efflux,efflux,1,2,2.294,7.693,0.151
rf,multi,papp,1,2,5.827,8.096,0.4966
rf,multi,efflux,1,2,2.358,7.642,0.1623
rf,single_papp,papp,1,3,6.147,8.074,0.4132
rf,single_efflux,efflux,1,3,3.94,10.316,0.3591
rf,multi,papp,1,3,6.026,7.972,0.428
rf,multi,efflux,1,3,3.987,10.125,0.3826
rf,single_papp,papp,1,4,6.239,8.655,0.2577
rf,single_efflux,efflux,1,4,3.695,8.835,0.1741
rf,multi,papp,1,4,6.155,8.594,0.2682
rf,multi,efflux,1,4,3.701,8.799,0.1807
rf,single_papp,papp,2,0,6.355,8.73,0.4118
rf,single_efflux,efflux,2,0,2.494,5.857,0.3941
rf,multi,papp,2,0,6.18,8.508,0.4413
rf,multi,efflux,2,0,2.383,5.645,0.437
rf,single_papp,papp,2,1,5.702,7.67,0.4099
rf,single_efflux,efflux,2,1,3.435,9.687,0.2643
rf,multi,papp,2,1,5.664,7.599,0.4208
rf,multi,efflux,2,1,3.369,9.552,0.2847
rf,single_papp,papp,2,2,6.603,8.651,0.325
rf,single_efflux,efflux,2,2,3.476,9.52,0.0296
rf,multi,papp,2,2,6.557,8.554,0.3401
rf,multi,efflux,2,2,3.492,9.336,0.0666
rf,single_papp,papp,2,3,5.762,7.767,0.4106
rf,single_efflux,efflux,2,3,3.251,8.635,0.1866
rf,multi,papp,2,3,5.805,7.735,0.4154
rf,multi,efflux,2,3,3.098,8.347,0.2399
rf,single_papp,papp,2,4,6.759,9.1,0.2933
rf,single_efflux,efflux,2,4,3.307,8.635,0.0174
rf,multi,papp,2,4,6.798,9.181,0.2805
rf,multi,efflux,2,4,3.219,8.422,0.0654
rf,single_papp,papp,3,0,6.501,8.626,0.3726
rf,single_efflux,efflux,3,0,3.465,10.102,0.2994
rf,multi,papp,3,0,6.319,8.41,0.4036
rf,multi,efflux,3,0,3.408,10.093,0.3007
rf,single_papp,papp,3,1,6.535,8.662,0.3579
rf,single_efflux,efflux,3,1,3.598,8.67,0.061
rf,multi,papp,3,1,6.614,8.853,0.3293
rf,multi,efflux,3,1,3.58,8.693,0.0561
rf,single_papp,papp,3,2,6.174,8.62,0.3502
rf,single_efflux,efflux,3,2,3.721,9.041,0.0297
rf,multi,papp,3,2,6.117,8.528,0.364
rf,multi,efflux,3,2,3.523,8.58,0.1261
rf,single_papp,papp,3,3,5.744,7.584,0.375
rf,single_efflux,efflux,3,3,2.242,6.183,0.2025
rf,multi,papp,3,3,5.654,7.464,0.3947
rf,multi,efflux,3,3,2.096,5.978,0.2545
rf,single_papp,papp,3,4,6.548,8.592,0.3712
rf,single_efflux,efflux,3,4,3.071,8.602,0.1304
rf,multi,papp,3,4,6.519,8.507,0.3836
rf,multi,efflux,3,4,2.98,8.272,0.1958
rf,single_papp,papp,4,0,5.892,7.828,0.431
rf,single_efflux,efflux,4,0,4.06,11.18,0.2687
rf,multi,papp,4,0,5.765,7.73,0.4451
rf,multi,efflux,4,0,4.082,10.998,0.2923
rf,single_papp,papp,4,1,6.845,9.493,0.2545
rf,single_efflux,efflux,4,1,2.853,7.449,-0.0078
rf,multi,papp,4,1,6.84,9.483,0.2562
rf,multi,efflux,4,1,2.926,7.397,0.006
rf,single_papp,papp,4,2,6.664,8.647,0.3499
rf,single_efflux,efflux,4,2,3.894,10.591,-0.0256
rf,multi,papp,4,2,6.565,8.452,0.3789
rf,multi,efflux,4,2,3.898,10.268,0.0359
rf,single_papp,papp,4,3,5.993,7.923,0.4148
rf,single_efflux,efflux,4,3,2.633,5.896,0.3411
rf,multi,papp,4,3,5.971,7.841,0.4269
rf,multi,efflux,4,3,2.56,5.764,0.3703
rf,single_papp,papp,4,4,5.663,7.651,0.4833
rf,single_efflux,efflux,4,4,2.568,6.706,0.1385
rf,multi,papp,4,4,5.714,7.665,0.4814
rf,multi,efflux,4,4,2.62,6.707,0.1382
